"name","sku","category","subcategory","childcategory","product_group","unit","brand","alert_quantity","vat_percent","minimum_sale_price","minimum_wholesale_price","barcode","purchase_price","selling_price","discount_type","discount_value","wholesale_price","minimum_wholesale_quantity","size","color","opening_stock_qty","opening_stock_purchase_price_rate","author"
"Miyako one piecs - 14","","miyako one piecs","","","","Pcs","","0","0","0","0","20704301","3150","3650","Amount","0","0","0","Body free size from 34” to 50“ (One size )","Pink","2","3150",""
"Modest Cord's Set - 42","","Modest Cord's Set","","","","Pcs","","0","0","0","0","71453415","2350","2850","Amount","0","0","0","Body free size from 34” to 48“ (One size )","Coffee","13","2350",""
"Modest Cord's Set - 42","","Modest Cord's Set","","","","Pcs","","0","0","0","0","71633589","2350","2850","Amount","0","0","0","Body free size from 34” to 48“ (One size )","Light brown","24","2350",""
"Modest Cord's Set - 42","","Modest Cord's Set","","","","Pcs","","0","0","0","0","71711463","2350","2850","Amount","0","0","0","Body free size from 34” to 48“ (One size )","Ash","53","2350",""
"Modest Cord's Set - 42","","Modest Cord's Set","","","","Pcs","","0","0","0","0","71711464","2350","2850","Amount","0","0","0","Body free size from 34” to 48“ (One size )","marron","12","2350",""
"Modest Cord's Set - 42","","Modest Cord's Set","","","","Pcs","","0","0","0","0","71711466","2350","2850","Amount","0","0","0","Body free size from 34” to 48“ (One size )","Black","46","2350",""
"Modest Cord's Set - 42","","Modest Cord's Set","","","","Pcs","","0","0","0","0","71711467","2350","2850","Amount","0","0","0","Body free size from 34” to 48“ (One size )","Beige colour","39","2350",""
"Modest Cord's Set - 43","","Modest Cord's Set","","","","Pcs","","0","0","0","0","72545666","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Brown","4","2350",""
"Modest Cord's Set - 43","","Modest Cord's Set","","","","Pcs","","0","0","0","0","72545672","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Beige colour","4","2350",""
"Modest Cord's Set - 43","","Modest Cord's Set","","","","Pcs","","0","0","0","0","72570352","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Burgundy","0","2350",""
"Modest Cord's Set - 43","","Modest Cord's Set","","","","Pcs","","0","0","0","0","72570353","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Maroon","0","2350",""
"Modest Cord's Set - 43","","Modest Cord's Set","","","","Pcs","","0","0","0","0","72570355","2350","2850","Amount","0","0","0","Body free size from 34” to 46“ (One size )","Black","0","2350",""
